Borrower_ID,Equipment_ID,Issue_Date_Time,Expected_Return_Date_Time
914,34,2020-04-21 03:33:07,2020-04-21 05:33:07
673,1,2020-04-25 23:35:00,2020-04-26 00:35:00
572,32,2020-03-01 10:11:37,2020-03-01 11:11:37
834,39,2020-06-22 10:49:36,2020-06-22 14:49:36
727,9,2020-03-19 21:16:32,2020-03-20 01:16:32
634,18,2020-08-24 16:14:20,2020-08-24 18:14:20
941,34,2020-05-18 04:48:17,2020-05-18 08:48:17
779,2,2020-09-26 19:21:41,2020-09-26 21:21:41
614,31,2020-06-03 02:01:49,2020-06-03 04:01:49
656,35,2020-05-16 19:24:57,2020-05-16 20:24:57
848,34,2020-12-23 18:02:09,2020-12-23 21:02:09
302,5,2021-01-18 20:07:28,2021-01-18 22:07:28
488,28,2020-12-14 15:40:28,2020-12-14 18:40:28
128,38,2020-01-17 16:10:30,2020-01-17 20:10:30
715,20,2020-01-11 23:37:28,2020-01-12 00:37:28
195,3,2020-06-16 22:28:12,2020-06-17 02:28:12
61,2,2020-12-02 18:17:57,2020-12-02 19:17:57
986,28,2020-03-11 17:28:20,2020-03-11 18:28:20
581,6,2020-01-01 16:39:20,2020-01-01 19:39:20
986,34,2020-11-13 16:20:31,2020-11-13 18:20:31
